epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.05636,2.55017,3.34333,2.92224,0.00333,0.97826,0.05185,0.01218,3.20259,4.2285,4.13404,0.00052,0.00052,0.00052
2,10.1189,2.10443,2.92557,2.48292,0.00326,0.95652,0.14715,0.04353,3.07029,4.06548,4.67471,0.00104951,0.00104951,0.00104951
3,14.1423,2.04001,2.83553,2.47178,0.0832,0.30435,0.05967,0.0171,3.15151,6.92566,4.17413,0.00156832,0.00156832,0.00156832
4,18.0364,2.04462,2.87768,2.49543,0.02643,0.3913,0.01981,0.0059,3.12963,35.8925,4.35432,0.0019406,0.0019406,0.0019406
5,21.8081,2.04293,2.86447,2.49219,0.15491,0.23913,0.08837,0.02503,2.91689,5.00852,4.62046,0.0019208,0.0019208,0.0019208
6,25.5596,2.00453,2.84108,2.47744,0.17737,0.28261,0.10382,0.02408,3.04401,4.69408,5.35354,0.001901,0.001901,0.001901
7,29.3422,1.97852,2.8115,2.46941,0.22893,0.34783,0.17174,0.05515,2.9869,4.47079,4.44662,0.0018812,0.0018812,0.0018812
8,33.2712,1.93494,2.83446,2.43056,0.03022,0.3913,0.04479,0.01134,3.1498,3.76832,4.6354,0.0018614,0.0018614,0.0018614
9,37.1588,1.89717,2.75818,2.34612,0.06378,0.47826,0.10194,0.0392,2.85736,3.55827,4.03512,0.0018416,0.0018416,0.0018416
10,41.0156,1.85429,2.73206,2.35325,0.09003,0.23913,0.05781,0.01742,3.07564,4.18877,4.3285,0.0018218,0.0018218,0.0018218
11,44.8303,1.88175,2.78053,2.35773,0.19081,0.13043,0.08673,0.02986,3.0257,4.90645,4.11022,0.001802,0.001802,0.001802
12,48.7555,1.94617,2.77224,2.43249,0.02877,0.56522,0.12339,0.03355,3.10814,3.90619,4.13606,0.0017822,0.0017822,0.0017822
13,52.5912,1.81512,2.71648,2.38671,0.10353,0.3913,0.16946,0.06686,2.99111,3.18163,3.77045,0.0017624,0.0017624,0.0017624
14,56.3802,1.86848,2.79563,2.34417,0.20207,0.30435,0.17486,0.05517,2.7695,3.13807,3.8076,0.0017426,0.0017426,0.0017426
15,60.2572,1.84326,2.68209,2.33516,0.26274,0.26087,0.1919,0.0582,2.96558,3.06729,4.18584,0.0017228,0.0017228,0.0017228
16,64.0692,1.83498,2.63202,2.32438,0.32249,0.28261,0.17394,0.04888,2.99103,3.31053,4.20328,0.001703,0.001703,0.001703
17,67.9011,1.86123,2.68213,2.37761,0.24436,0.30435,0.23424,0.07568,3.0427,2.82201,4.00262,0.0016832,0.0016832,0.0016832
18,71.9022,1.85436,2.65823,2.32183,0.14168,0.34783,0.11607,0.03892,3.10099,2.96796,3.93655,0.0016634,0.0016634,0.0016634
19,75.7664,1.82435,2.65151,2.28922,0.11687,0.26087,0.10929,0.02699,2.93776,3.11976,3.65487,0.0016436,0.0016436,0.0016436
20,79.719,1.86731,2.56651,2.31965,0.16519,0.43478,0.19456,0.07052,2.96269,3.03234,3.68817,0.0016238,0.0016238,0.0016238
21,83.5512,1.80135,2.52578,2.28781,0.17554,0.36957,0.1636,0.05726,3.02687,3.14962,3.97499,0.001604,0.001604,0.001604
22,87.4578,1.81284,2.70353,2.28905,0.21037,0.32609,0.17622,0.04594,3.0409,3.50657,3.99878,0.0015842,0.0015842,0.0015842
23,91.2929,1.81171,2.5919,2.2824,0.32921,0.28261,0.28018,0.08941,2.99694,2.92423,3.98716,0.0015644,0.0015644,0.0015644
24,95.1083,1.79723,2.57751,2.30136,0.28817,0.30435,0.25319,0.07931,3.0578,3.00414,4.20111,0.0015446,0.0015446,0.0015446
25,98.881,1.79962,2.58091,2.30936,0.23145,0.27506,0.22787,0.0549,3.12952,2.94283,4.37486,0.0015248,0.0015248,0.0015248
26,102.642,1.79882,2.57156,2.29617,0.41067,0.30301,0.26252,0.08419,3.069,2.75475,4.31327,0.001505,0.001505,0.001505
27,106.463,1.79607,2.59244,2.25955,0.25314,0.22112,0.20311,0.06936,3.06237,2.78374,4.18144,0.0014852,0.0014852,0.0014852
28,110.322,1.83082,2.58304,2.28232,0.2593,0.32609,0.24075,0.06996,2.98467,2.70709,4.02889,0.0014654,0.0014654,0.0014654
29,114.154,1.79994,2.54964,2.28116,0.30601,0.23913,0.24116,0.07549,2.99679,2.72361,3.86077,0.0014456,0.0014456,0.0014456
30,117.992,1.78998,2.51194,2.25147,0.27675,0.23913,0.21413,0.06141,3.10184,2.71811,3.89662,0.0014258,0.0014258,0.0014258
31,121.822,1.87603,2.59454,2.34558,0.28556,0.25211,0.24443,0.09116,2.99588,2.7449,3.78748,0.001406,0.001406,0.001406
32,125.623,1.79997,2.50148,2.26697,0.27402,0.30435,0.22943,0.07218,2.96803,2.86397,3.71951,0.0013862,0.0013862,0.0013862
33,129.507,1.77646,2.56887,2.27146,0.24526,0.23913,0.20675,0.05856,2.94309,2.88449,3.8266,0.0013664,0.0013664,0.0013664
34,133.426,1.83385,2.52838,2.26415,0.31823,0.30435,0.2291,0.06592,2.93249,2.71049,3.70282,0.0013466,0.0013466,0.0013466
35,137.155,1.76742,2.52586,2.28299,0.30221,0.26087,0.2385,0.06635,2.90588,2.87034,3.73151,0.0013268,0.0013268,0.0013268
36,140.952,1.80753,2.54519,2.26728,0.29259,0.32609,0.25706,0.09402,2.92874,2.75556,3.81226,0.001307,0.001307,0.001307
